latitude,longitude,id,icao24bit,heading,altitude,groundSpeed,squawk,aircraftCode,registration,time,originAirportIata,destinationAirportIata,number,airlineIata,onGround,verticalSpeed,callsign,airlineIcao
77.117,-16.249,386ce02e,8015A7,263,34000,426,,B77W,VT-AER,1734761145,DEL,EWR,AI105,AI,0,0,AIC105,AIC
77.173,-12.79,386ce62b,801665,267,38000,444,,A359,VT-JRI,1734761145,DEL,JFK,AI101,AI,0,0,AIC101,AIC
77.075,2.592,386cf90a,8004E0,284,34000,454,,B77W,VT-ALR,1734761144,DEL,ORD,AI127,AI,0,0,AIC127,AIC
76.879,20.882,386d103f,8004DF,301,34000,456,,B77W,VT-ALQ,1734761145,DEL,YYZ,AI187,AI,0,-64,AIC187,AIC
78.469,28.198,386d2b4e,89611C,319,33000,453,,B77W,A6-ECU,1734761146,DXB,DFW,EK221,EK,0,0,UAE221,UAE
68.881,-163.932,386d50eb,868340,24,33000,458,,B77W,JA743J,1734761151,HND,CDG,JL45,JL,0,0,JAL45,JAL
70.015,-129.117,386d5b73,781EBB,288,30000,442,,B77L,B-222V,1734761148,JFK,PVG,CK232,CK,0,0,CKK232,CKK
70.006,-126.671,386d785c,781F4C,306,32000,427,,B77L,B-223N,1734761151,ORD,CAN,CSG2550,CS,0,0,CSG2550,CSG
72.838,-11.071,386d1508,896190,277,36000,460,,A388,A6-EEQ,1734761155,DXB,IAD,EK231,EK,0,0,UAE3MX,UAE
70.638,10.378,386cecc2,800C3E,281,34000,468,,B77W,VT-ALX,1734761155,BOM,JFK,AI119,AI,0,0,AIC119,AIC
69.658,21.616,386dd61d,47C1C6,262,28000,305,,BE20,LN-BSJ,1734761156,TOS,,,,0,64,BNOK,INR
75.404,37,386cf3a8,896119,315,32000,460,,B77W,A6-ECR,1734761153,DXB,MCO,EK219,EK,0,0,UAE2J,UAE
71.792,87.819,386d979c,151DBF,260,38000,474,,A359,RA-73151,1734761158,PKC,SVO,SU1731,SU,0,0,AFL1731,AFL
64.656,-179.403,386d112b,781ED4,275,34000,496,,B77L,B-223A,1734761161,ORD,PVG,CK228,CK,0,0,CKK228,CKK
61.225,-179.384,386d23e7,789231,262,36000,519,,A35K,B-LXK,1734761160,ORD,HKG,CX807,CX,0,0,CPA807,CPA
61.615,-176.366,386d823e,86E822,0,36996,441,,B789,JA876A,1734761160,NRT,BRU,NH231,NH,0,0,ANA231,ANA
62.403,-173.904,386d7b36,86E79A,39,37004,440,,B789,JA872A,1734761138,HND,CDG,NH215,NH,0,0,ANA215,ANA
63.585,-168.901,386d66ad,3965AF,36,33000,445,,B77W,F-GZNP,1734761161,HND,CDG,AF281,AF,0,0,AFR281,AFR
67.449,-165.293,386d5117,3C4586,25,35000,446,,B77L,D-AALF,1734761161,KIX,FRA,3S635,3S,0,0,BOX635,BOX
61.251,-157.743,386de16e,89911C,269,34000,498,,B744,B-18723,1734761161,ANC,TPE,CI5265,CI,0,64,CAL5265,CAL
61.253,-156.533,386d4aa9,AAC366,270,34000,497,,B77L,N793CK,1734761162,ORD,ICN,K4226,K4,0,0,CKS226,CKS
61.247,-150.103,386e03c5,A61C5C,315,4300,241,,B763,N493MM,1734761161,ANC,CGO,M61041,M6,0,3392,AJT1041,SRR
61.487,-149.696,386e03c7,A4497F,68,12225,340,,B39M,N37551,1734761161,ANC,ORD,UA2271,UA,0,1216,UAL2271,UAL
61.601,-149.059,386de122,ABDAA4,70,15425,410,,B748,N863GT,1734761161,ANC,MIA,5Y8934,5Y,0,2240,GTI8934,
61.698,-148.323,386e00ef,A6B470,70,22000,395,,A21N,N531DA,1734761161,ANC,MSP,DL377,DL,0,1344,DAL377,DAL
66.96,-148.037,386d45cd,C0174F,269,34000,440,,B77W,C-FIVM,1734761158,YYZ,HND,AC1,AC,0,0,ACA1,ACA
64.724,-148.028,386db4f5,A6B07E,25,2650,169,,B738,N530AS,1734761161,SEA,FAI,AS97,AS,0,-832,ASA97,ASA
64.609,-142.062,386cc581,789232,92,37000,534,,A35K,B-LXL,1734761160,HKG,JFK,CX844,CX,0,0,CPA844,CPA
62.463,-96.058,386dc278,4BB0E9,53,37000,483,,A359,TC-LGI,1734761162,SEA,IST,TK204,TK,0,0,THY8JK,THY
61.566,-75.642,386db47c,C07B42,69,36992,486,,B789,C-GURP,1734761160,YYC,CDG,WS10,WS,0,0,WJA10,WJA
63.79,-65.032,386daaa9,4BB145,41,30975,490,,B77W,TC-LJE,1734761164,YYZ,IST,TK18,TK,0,128,THY8VG,THY
64.878,-64.035,386d71ba,394A0A,74,37000,503,,B77W,F-GSQK,1734761160,SFO,CDG,AF4081,AF,0,0,AFR4081,AFR
63.599,-57.419,386d9a77,8964A3,63,31000,500,,B77W,A6-EQK,1734761161,ORD,DXB,EK236,EK,0,0,UAE5WR,UAE
66.069,-53.043,386ced4f,89655B,91,35000,519,,A388,A6-EVO,1734761163,LAX,DXB,EK216,EK,0,64,UAE37V,UAE
65.575,-52.66,386d2a2a,4BB188,246,36000,446,,B789,TC-LLH,1734761164,IST,MEX,TK181,TK,0,-64,THY181,THY
64.944,-50.357,386d799b,A31A54,69,38975,515,,B789,N29975,1734761163,DEN,LHR,UA27,UA,0,-192,UAL27,UAL
62.973,-49.569,386d7e0a,C01723,97,34975,519,,B77W,C-FITU,1734761164,YVR,LHR,AC860,AC,0,64,ACA860,ACA
62.986,-49.161,386d565a,485341,92,37950,524,,B789,PH-BHG,1734761163,SFO,AMS,KL606,KL,0,192,KLM282,KLM
64.921,-49.114,386d7bd1,A13DE2,99,38950,519,,B789,N17963,1734761154,DEN,FRA,UA182,UA,0,192,UAL182,UAL
66.045,-47.553,386d4e3e,89647F,87,36950,515,,A388,A6-EUU,1734761160,SFO,DXB,EK226,EK,0,0,UAE41P,UAE
63.423,-46.628,386d8bec,45CF24,255,32025,424,,B763,OY-SYD,1734761162,CGN,SDF,DJ7702,DJ,0,0,SRR7702,SRR
64.044,-41.493,386da0d5,4CC2A5,93,35000,485,,B752,TF-FIR,1734761164,JFK,KEF,FI616,FI,0,0,ICE616,ICE
66.482,-40.939,386d96c2,A35EEB,267,34025,433,,B763,N316UP,1734761165,CGN,SDF,5X228,5X,0,0,UPS228,UPS
67.568,-40.71,386d66f8,06A2B1,103,33000,483,,B77W,A7-BEM,1734761165,SEA,DOH,QR720,QR,0,0,QTR29N,QTR
65.888,-36.185,386d3aca,06A12C,95,37000,507,,A35K,A7-ANP,1734761164,SFO,DOH,QR738,QR,0,0,QTR62P,QTR
65.874,-35.849,386d5f7e,896454,96,31000,480,,B77W,A6-EQE,1734761141,SEA,DXB,EK230,EK,0,0,UAE93Q,UAE
61.541,-35.409,386d88e6,4CC548,57,37000,520,,B39M,TF-ICD,1734761162,ORD,KEF,FI852,FI,0,0,ICE10V,ICE
61.798,-35.374,386d85cc,4CC510,61,34000,440,,B38M,TF-ICU,1734761165,MSP,KEF,FI656,FI,0,0,ICE656,ICE
